Прізвище;Ім'я;По-батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Шеремета;Яків;Тимофійович;Ч;1982-04-09;Реабілітолог; Золоте;провулок Грецька, буд. 7, Золоте, 41049;570 41 75;moskalleonid@example.com
Засенко;Демид;Євгенович;Ч;1940-03-07;Ґрунтознавець; Покров;узвіз Суворовська, буд. 5, Покров, 03927;+380 86 259-90-66;varvararak@example.com
Лукаш;Амалія;Євгенівна;Ж;1987-12-14;Няня; Коростень;проспект Колективний, буд. 872, Коростень, 48280;606-99-75;orysiaskyba@example.net
Притула;Гаврило;Юрійович;Ч;1944-10-08;Кінолог; Ланівці;провулок Фабрична, буд. 04 кв. 7, Ланівці, 63633;676-26-42;sakulenko@example.org
Масоха;Віктор;Петрович;Ч;1994-03-24;Няня; Рава-Руська;вулиця Лазурний 6-й, буд. 22 кв. 486, Рава-Руська, 59656;023 586 37 11;panteleimon20@example.com
Гавриленко;Аліна;Кузьмівна;Ж;2002-06-23;Євнух; Ходорів;узвіз Хаджибейська дорога, буд. 1, Ходорів, 48080;137-09-68;veniiamyn78@example.com
Кибкало;Омелян;Олександрович;Ч;2005-12-21;Математик; Нова Каховка;вулиця Восьмого Березня Лінія 5-та, буд. 970 кв. 292, Нова Каховка, 67201;+380 07 119-09-06;daryna86@example.com
Артеменко;Марина;Олександрівна;Ж;1944-12-11;Гицель; Малин;набережна Магнітогорський 2-й, буд. 7, Малин, 97955;+380 (18) 194-82-40;bohodar34@example.org
Лавренко;Клавдія;Андріївна;Ж;1981-01-09;Письменник; Гайсин;площа Восьмого березня 1-й, буд. 4, Гайсин, 80250;+380 63 266-42-97;bmakohon@example.com
Ярош;Августин;Дмитрович;Ч;1943-02-13;Акушер; Козятин;проспект 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 376, Козятин, 76296;034 311 53 19;albert10@example.com
Масляк;Варфоломій;Володимирович;Ч;1972-04-28;Кушнір; Курахове;площа Студентський 2-й, буд. 46 кв. 620, Курахове, 25492;+380 07 749-76-71;tymofiibabiak@example.com
Титаренко;Алла;Федорівна;Ж;1962-12-24;Парфюмер; Білозерське;шосе Рельєфна, буд. 3 кв. 22, Білозерське, 58967;+380 17 377 90 60;leontiifranko@example.com
Пушкар;Павло;Васильович;Ч;2005-04-01;Адвокат; Герца;сквер Четверта, буд. 556, Герца, 99219;+380 (53) 884-31-74;violettashcherban@example.net
Тарасенко;Святослава;Ярославівна;Ж;1954-06-05;Стоматолог; Пустомити;проспект Березовий, буд. 98 кв. 76, Пустомити, 55824;852 88 53;milenadanyliuk@example.net
Артимишин;Сергій;Олександрович;Ч;1961-03-29;Няня; Радехів;проспект Тепличний 1-й, буд. 36 кв. 58, Радехів, 01309;314 17 60;zarubavitalii@example.com
Вергун;Златослава;Андріївна;Ж;1976-09-06;Фотограф; Довжанськ;проспект Чубаївська, буд. 4, Довжанськ, 07605;+380 65 679-00-53;olha68@example.org
Демиденко;Пантелеймон;Ярославович;Ч;2007-07-29;Намотувальник; Новодружеськ;набережна Шишкіна 1-й, буд. 814, Новодружеськ, 61268;+380 96 558 29 35;okseniia26@example.net
Верховинець;Валерій;Олександрович;Ч;1943-11-12;Історик; Зміїв;провулок Райдужна, буд. 149, Зміїв, 50448;005-05-67;makarriabets@example.net
Онищенко;Орися;Володимирівна;Ж;1952-06-23;Скульптор; Тараща;проспект Ольгіївська, буд. 4, Тараща, 47517;013 226 08 57;mykhailynaandriishyn@example.com
Христенко;Ольга;Василівна;Ж;1985-05-10;Клоун; Ізмаїл;провулок Магнітогорський 2-й, буд. 76, Ізмаїл, 67082;+380 44 307 47 83;orestoliinyk@example.org
Цимбал;Марко;Вікторович;Ч;1999-06-14;Реабілітолог; Тернопіль;шосе Фабрична, буд. 5 кв. 45, Тернопіль, 72955;+380 (46) 895-09-65;arkadiipetryk@example.org
Власенко;Прохір;Михайлович;Ч;1959-07-26;Локсмайстер; Богуслав;узвіз Довженка, буд. 66, Богуслав, 41216;026 924 93 29;havrylyshynherman@example.org
Саєнко;Віолетта;Георгіївна;Ж;2007-09-14;Фізик; Дружківка;провулок Венгера, буд. 19 кв. 5, Дружківка, 50502;058 763 33 74;danchuksviatoslava@example.org
Оніщук;Лукʼян;Михайлович;Ч;1978-07-05;Хореограф; Кривий Ріг;вулиця Чорноморський 1-й, буд. 4 кв. 15, Кривий Ріг, 26418;264 54 62;havryletsemiliia@example.org
Петрик;Роксолана;Євгенівна;Ж;1970-01-13;Астроном; Корець;вулиця Канатний, буд. 683, Корець, 55493;+380 03 405-22-30;vholoborodko@example.org
Гайворонський;Венедикт;Євгенович;Ч;1985-01-29;Програміст; Привілля;сквер Ботанічний, буд. 96 кв. 18, Привілля, 90447;027 927 83 50;ielysei04@example.net
